City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
106,Saldanha,ZA,-33.0117,17.9442,60.85,85,47,9.66,scattered clouds
107,Bredasdorp,ZA,-34.5322,20.0403,54.36,88,81,5.95,broken clouds
108,Bethel,US,41.3712,-73.414,63.01,68,100,1.01,overcast clouds
109,Westport,US,41.1415,-73.3579,64.85,61,100,7.0,overcast clouds
110,Hithadhoo,MV,-0.6,73.0833,81.79,72,83,8.86,broken clouds
111,Faya,SA,18.3851,42.4509,66.31,51,8,4.29,clear sky
112,Mayumba,GA,-3.432,10.6554,74.98,90,100,5.86,overcast clouds
113,Rupert,US,42.6191,-113.6772,55.35,67,75,12.66,broken clouds
114,Avera,US,33.194,-82.5271,66.38,61,99,19.22,overcast clouds
115,Beidao,CN,34.5686,105.8933,63.41,75,100,4.56,overcast clouds
116,Liwale,TZ,-9.7667,37.9333,74.46,54,72,7.9,broken clouds
117,Castro,BR,-24.7911,-50.0119,57.58,88,100,6.78,light rain
118,Ajdabiya,LY,30.7554,20.2263,95.05,15,0,9.31,clear sky
119,Lima,PE,-12.0432,-77.0282,61.05,72,100,9.22,overcast clouds
120,Isangel,VU,-19.55,169.2667,74.19,84,4,8.21,clear sky
121,Coahuayana,MX,18.7333,-103.6833,87.8,62,18,4.83,few clouds
122,Miri,MY,4.4148,114.0089,78.94,89,20,2.3,few clouds
123,Lebu,CL,-37.6167,-73.65,56.82,76,100,13.51,overcast clouds
124,Narsaq,GL,60.9167,-46.05,39.13,70,93,2.93,overcast clouds
125,Chumikan,RU,54.7183,135.315,34.56,71,73,7.94,broken clouds
126,Aksu,CN,41.1231,80.2644,69.01,25,100,8.19,overcast clouds
127,Salalah,OM,17.0151,54.0924,78.87,81,97,4.29,overcast clouds
128,Saint-Philippe,RE,-21.3585,55.7679,69.39,82,41,10.63,scattered clouds
129,Ancud,CL,-41.8697,-73.8203,52.66,80,68,3.29,broken clouds
130,Namibe,AO,-15.1961,12.1522,65.84,90,56,7.54,broken clouds
131,Sungairaya,ID,0.7,108.9,78.17,87,94,3.42,overcast clouds
132,Ahuimanu,US,21.4447,-157.8378,80.17,78,16,1.99,few clouds
133,De-Kastri,RU,51.4667,140.7833,42.21,81,100,3.02,heavy intensity rain
134,Atasu,KZ,48.6814,71.6433,31.33,41,0,13.02,clear sky
135,Kiruna,SE,67.8557,20.2251,31.12,74,75,2.3,broken clouds
136,Boa Viagem,BR,-5.1275,-39.7322,97.05,25,64,8.97,broken clouds
137,Nantucket,US,41.2835,-70.0995,64.0,62,100,15.61,overcast clouds
138,Havre-Saint-Pierre,CA,50.2334,-63.5986,50.07,76,14,22.84,few clouds
139,Tura,IN,25.5198,90.2201,75.6,88,100,3.06,overcast clouds
140,Jackson,US,42.4165,-122.8345,65.88,59,7,0.98,clear sky
141,Cururupu,BR,-1.8283,-44.8683,86.9,56,67,8.12,broken clouds
142,Ponta Do Sol,PT,32.6667,-17.1,74.71,81,87,3.38,overcast clouds
143,Hilo,US,19.7297,-155.09,81.28,82,91,1.01,overcast clouds
144,Qasigiannguit,GL,68.8193,-51.1922,35.85,99,100,1.1,light rain
145,Fiumicino,IT,41.7675,12.2291,72.95,70,40,16.11,scattered clouds
146,Autazes,BR,-3.5797,-59.1306,103.3,23,74,4.12,broken clouds
147,Severo-Kurilsk,RU,50.6789,156.125,50.85,94,99,14.63,light rain
148,Kendari,ID,-3.945,122.4989,75.92,90,71,1.36,broken clouds
149,Margate,GB,51.3813,1.3862,58.89,91,100,5.99,light rain
150,Yulara,AU,-25.2406,130.9889,67.6,30,100,11.25,overcast clouds
151,Dikson,RU,73.5069,80.5464,35.35,85,100,18.12,overcast clouds
152,Flinders,AU,-34.5833,150.8552,55.18,89,98,5.01,overcast clouds
153,Sao Filipe,CV,14.8961,-24.4956,79.81,86,50,6.89,scattered clouds
154,Sheltozero,RU,61.3667,35.3667,46.94,91,98,9.64,light rain
155,Cape Town,ZA,-33.9258,18.4232,62.35,63,51,1.99,broken clouds
156,Krasnorechenskiy,RU,44.6265,135.3532,58.35,56,37,7.05,scattered clouds
157,Waitati,NZ,-45.75,170.5667,40.8,76,2,3.51,clear sky
158,Norman Wells,CA,65.282,-126.8329,48.43,69,100,6.29,overcast clouds
159,Port Blair,IN,11.6667,92.75,80.96,83,100,21.03,moderate rain
160,Lata,PT,40.1629,-8.3327,66.92,62,74,5.21,broken clouds
161,Puerto Ayora,EC,-0.7393,-90.3518,66.54,96,95,5.99,overcast clouds
162,Mildura,AU,-34.2,142.15,59.81,62,100,7.36,overcast clouds
163,Cherskiy,RU,68.75,161.3,28.33,77,100,2.95,overcast clouds
164,Georgetown,MY,5.4112,100.3354,82.33,83,40,7.0,moderate rain
165,Zaanstad,NL,52.4531,4.8125,60.01,74,20,13.8,few clouds
166,Ilulissat,GL,69.2167,-51.1,35.62,80,75,2.3,broken clouds
167,Poum,NC,-20.2333,164.0167,73.65,78,82,18.3,broken clouds
168,Nelson Bay,AU,-32.7167,152.15,62.01,70,87,10.0,overcast clouds
169,Dhidhdhoo,MV,6.8833,73.1,80.67,79,100,23.8,overcast clouds
170,Dakar,SN,14.6937,-17.4441,87.93,70,40,4.61,scattered clouds
171,Havoysund,NO,70.9963,24.6622,43.03,61,3,8.14,clear sky
172,Beringovskiy,RU,63.05,179.3167,39.92,82,100,23.44,overcast clouds
173,Tasiilaq,GL,65.6145,-37.6368,42.96,75,100,4.79,overcast clouds
174,Rodino,RU,52.5,80.25,34.43,87,100,9.98,light snow
175,Khatanga,RU,71.9667,102.5,28.76,95,100,11.5,overcast clouds
176,Alofi,NU,-19.0595,-169.9187,74.43,71,63,18.34,broken clouds
177,Kahului,US,20.8947,-156.47,82.85,73,13,8.99,few clouds
178,Luderitz,NA,-26.6481,15.1594,60.15,67,60,19.08,broken clouds
179,Macau,MO,22.2006,113.5461,80.33,89,20,9.22,few clouds
180,Chokurdakh,RU,70.6333,147.9167,19.67,88,75,4.88,broken clouds
181,Hovd,MN,48.0056,91.6419,26.24,31,0,3.6,clear sky
182,Imeni Poliny Osipenko,RU,52.4201,136.4853,37.53,71,100,5.5,overcast clouds
183,Korla,CN,41.7597,86.1469,64.02,35,67,18.52,broken clouds
184,Aasiaat,GL,68.7098,-52.8699,32.22,98,100,8.57,light snow
185,Puerto Quijarro,BO,-17.7833,-57.7667,90.39,40,97,3.06,overcast clouds
186,Digha,IN,21.6833,87.55,81.79,82,39,4.63,scattered clouds
187,Ust-Ilimsk,RU,58.0006,102.6619,28.47,81,100,6.02,overcast clouds
188,Lorengau,PG,-2.0226,147.2712,80.89,74,99,5.37,overcast clouds
189,Teseney,ER,15.11,36.6575,84.61,49,4,14.0,clear sky
190,Elat,IL,29.5581,34.9482,89.19,36,0,14.81,clear sky
191,East London,ZA,-33.0153,27.9116,71.06,82,100,6.15,overcast clouds
192,Adrar,MR,20.5022,-10.0711,88.99,20,0,15.55,clear sky
193,Rio Grande,BR,-32.035,-52.0986,58.17,86,100,11.81,overcast clouds
194,Marsaxlokk,MT,35.8419,14.5431,78.08,94,20,23.02,few clouds
195,Buin,CL,-33.7333,-70.75,79.88,30,44,4.9,scattered clouds
196,Moulins,FR,46.5,3.3333,49.87,71,4,2.33,clear sky
197,Kaili,ID,-3.4626,120.2147,66.7,94,65,3.02,broken clouds
198,Sobolevo,RU,54.4299,31.8996,50.99,85,99,0.72,overcast clouds
199,Mar Del Plata,AR,-38.0023,-57.5575,61.95,74,24,1.01,few clouds
200,Balykshi,KZ,47.0667,51.8667,62.6,48,0,2.24,clear sky
201,Komsomolskiy,UZ,40.4272,71.7189,66.92,26,92,6.91,overcast clouds
202,Amuntai,ID,-2.4177,115.2494,74.19,94,100,0.36,overcast clouds
203,Mwaya,TZ,-9.55,33.95,74.12,58,66,3.49,broken clouds
204,Izmayil,UA,45.3493,28.8408,70.25,66,4,8.59,clear sky
205,Orocue,CO,4.7912,-71.3354,88.93,55,99,3.42,light rain
206,Victoria,HK,22.2855,114.1577,80.33,92,99,5.99,overcast clouds
207,Tibati,CM,6.4667,12.6333,68.72,90,64,2.42,moderate rain
208,Tenenkou,ML,14.4572,-4.9169,94.91,36,8,6.73,clear sky
209,Taonan,CN,45.3333,122.7833,43.72,80,86,12.62,overcast clouds
210,Clyde River,CA,70.4692,-68.5914,30.43,80,100,19.57,overcast clouds
211,Chuy,UY,-33.6971,-53.4616,60.08,68,95,7.58,overcast clouds
212,Bambous Virieux,MU,-20.3428,57.7575,67.21,74,10,11.99,light rain
213,Upernavik,GL,72.7868,-56.1549,22.42,77,67,4.72,broken clouds
214,Belawan,ID,3.7755,98.6832,75.49,89,100,4.43,moderate rain
215,Beian,NO,63.6559,9.5683,55.0,62,0,18.41,clear sky
216,Evinayong,GQ,1.4368,10.5512,68.45,99,85,2.89,light rain
217,Las Vegas,US,36.175,-115.1372,91.76,24,0,5.01,clear sky
218,Torbay,CA,47.6666,-52.7314,60.89,73,29,5.01,scattered clouds
219,Calama,CL,-22.4667,-68.9333,72.28,4,0,15.99,clear sky
220,Vila Franca Do Campo,PT,37.7167,-25.4333,75.2,79,72,3.53,broken clouds
221,Kapit,MY,2.0167,112.9333,74.12,98,89,1.07,overcast clouds
222,Pottstown,US,40.2454,-75.6496,63.68,60,100,4.0,overcast clouds
223,Longyearbyen,SJ,78.2186,15.6401,39.04,93,100,3.44,fog
224,Fare,PF,-16.7,-151.0167,77.4,71,0,10.8,clear sky
225,Acton Vale,CA,45.6501,-72.5658,62.29,62,0,1.01,clear sky
226,Laguna,US,38.421,-121.4238,85.64,48,0,6.91,clear sky
227,Mount Isa,AU,-20.7333,139.5,69.57,32,99,6.91,overcast clouds
228,Samarai,PG,-10.6167,150.6667,80.38,79,10,8.12,clear sky
229,Bend,US,44.0582,-121.3153,61.88,63,0,3.44,clear sky
230,San Marcos,US,33.1434,-117.1661,85.5,84,6,7.14,clear sky
231,Vestmannaeyjar,IS,63.4427,-20.2734,52.79,87,20,6.91,few clouds
232,Taltal,CL,-25.4,-70.4833,63.23,64,16,6.73,few clouds
233,Macapa,BR,0.0389,-51.0664,89.92,52,34,11.07,scattered clouds
234,Faanui,PF,-16.4833,-151.75,77.47,72,0,11.01,clear sky
235,Lensk,RU,60.7253,114.9278,25.29,84,50,3.65,scattered clouds
236,Katangli,RU,51.7102,143.2326,38.39,82,66,5.37,light rain
237,Jieshi,CN,22.8134,115.8257,78.78,89,98,7.58,overcast clouds
238,Provideniya,RU,64.3833,-173.3,34.97,71,58,12.35,broken clouds
239,Fort-Shevchenko,KZ,44.5086,50.263,70.48,63,5,6.55,clear sky
240,Wattegama,LK,6.7989,81.4808,77.81,74,99,11.59,light rain
241,Venado,MX,22.9333,-101.0833,67.78,45,12,5.97,few clouds
242,Eyl,SO,7.9803,49.8164,77.31,81,3,20.51,clear sky
243,Bubaque,GW,11.2833,-15.8333,79.54,80,100,12.44,overcast clouds
244,Espinosa,BR,-14.9261,-42.8192,89.08,35,96,13.58,overcast clouds
245,Pahrump,US,36.2083,-115.9839,89.26,13,0,3.0,clear sky
246,Yenagoa,NG,4.9247,6.2642,76.59,90,93,5.01,overcast clouds
247,Bandarbeyla,SO,9.4942,50.8122,78.85,78,49,21.88,scattered clouds
248,Areosa,PT,41.7178,-8.8571,61.68,80,88,12.88,overcast clouds
